Industries,Names,Company_Name,Qty,Market_Cap,Share_Price,Revenu_2020,Revenu_2019,Revenu_2018,Revenue_2017,Cash_2020,Cash_2019,Cash_2018,Cash_2017,Total Cash
Communication Industry,CHTR,"Charter Communications, Inc.",2,117887000000,609,48097000000,45764000000,43634000000,41581000000,6608000000,4608000000,2172000000,4084000000,17472000000
Communication Industry,TTWO,"Take-Two Interactive Software, Inc.",10,21560000000,187,3088970000,2668394000,1792892000,1779748000,632294000,776546000,306425000,310262000,2025527000
Health Care Industry,DHR,Danaher Corporation,3,158293000000,223,22284000000,17911100000,19893000000,18329700000,5417000000,3316100000,3366300000,2858200000,14957600000
Health Care Industry,WST,"West Pharmaceutical Services, Inc.",5,20779000000,280,2146900000,1839900000,1717400000,1599100000,472500000,240800000,183900000,132500000,1029700000
Health Care Industry,IDXX,"Idexx Laboratories, Inc.",4,45404000000,532,2706655000,2406908000,2213242000,1969058000,540187000,303934000,277148000,296572000,1417841000
Financials Industry,AJG,Arthur J. Gallagher & Co.,3,23640000000,122,7009400000,7119700000,6934000000,6159600000,1653200000,980400000,640700000,725000000,3999300000
Financials Industry,KEY,KeyCorp,1,20137000000,21,6686000000,6368000000,6424000000,6255000000,,2821000000,2407000000,1703000000,6931000000
Financials Industry,PGR,The Progressive Corporation,14,51301000000,88,42638100000,38997700000,31954700000,26816100000,5668800000,5898100000,6018800000,3601100000,21186800000
Information Tech Industry,AMD,"Advanced Micro Devices, Inc.",12,100140000000,83,9763000000,6731000000,6475000000,5329000000,777000000,276000000,-129000000,-45000000,879000000
Information Tech Industry,CDNS,"Cadence Design Systems, Inc.",3,38794000000,139,2682891000,2336319000,2138022000,1943032000,810109000,654995000,543248000,412839000,2421191000
Information Tech Industry,PAYC,"Paycom Software, Inc.",1,22403000000,372,841434000,737671000,566336000,433047000,133105000,131329000,124911000,71211000,460556000
Information Tech Industry,PYPL,"PayPal Holdings, Inc.",4,301872000000,258,21454000000,17772000000,15451000000,13094000000,4988000000,3857000000,4660000000,1864000000,15369000000
Information Tech Industry,SNPS,"Synopsys, Inc.",1,37613000000,247,3685281000,3360694000,3121058000,2724880000,832551000,598125000,322306000,561011000,2313993000
Information Tech Industry,ZBRA,Zebra Technologies Corporation,1,26558000000,497,4448000000,4485000000,4218000000,3722000000,895000000,624000000,721000000,428000000,2668000000
Materials Industry,NEM,Newmont Corporation,24,44890000000,56,11497000000,9740000000,7253000000,7348000000,3580000000,1403000000,795000000,1469000000,7247000000
Utilities Industry,NEE,"NextEra Energy, Inc.",47,145001000000,74,17997000000,19204000000,16727000000,17195000000,1236000000,2243000000,583000000,968000000,5030000000
Industrial Industry,ODFL,"Old Dominion Freight Line, Inc.",7,25388000000,216,4015129000,4109111000,4043695000,3358112000,,504563000,311824000,154169000,970556000
Industrial Industry,ROL,"Rollins, Inc.",23,16787000000,34,2161220000,2015477000,1821565000,1673957000,,282042000,259093000,210690000,751825000
Industrial Industry,TDY,Teledyne Technologies Incorporated,1,14030000000,380,3086200000,3163600000,2901800000,2603800000,,393700000,360100000,316200000,1070000000
Consumer Staples Industry,CHD,"Church & Dwight Co., Inc.",5,19404000000,79,4895800000,4357700000,4145900000,3776200000,891400000,790800000,703200000,636500000,3021900000
Consumer Discretionary,BWA,BorgWarner Inc.,2,10798000000,45,10165000000,10168000000,10529600000,9799300000,723000000,527000000,579900000,620300000,2450200000
Consumer Discretionary,DG,Dollar General Corporation,3,46218000000,189,27753973000,25625043000,23470967000,23470967000,1453155000,1409170000,1155652000,,4017977000
Consumer Discretionary,TGT,Target Corporation,2,92908000000,185,78112000000,75356000000,71879000000,71879000000,4090000000,2457000000,439000000,,6986000000
Tsla AAPL SQ,TSLA,"Tesla, Inc.",2,656531000000,683,31536000000,24578000000,21461268000,11758751000,2701000000,968000000,-221714000,-4142008000,-694722000
Tsla AAPL SQ,AAPL,Apple Inc.,11,2030000000000,121,274515000000,260174000000,265595000000,229234000000,73365000000,58896000000,64121000000,50803000000,247185000000
