Date,ATVI,GOOGL,GOOG,T,CHTR,CMCSA,DISCA,DISCK,DISH,EA,FB,IPG,LYV,NFLX,NWSA,TMUS,TTWO,DIS,TWTR,VZ
1/4/16,36.36580276,759.4400024,741.8400269,25.43227577,177.5299988,25.24481201,26.40999985,25.15999985,57.29000092,66.01203918,102.2200012,18.87557983,23.96999931,109.9599991,12.22559738,38.95000076,34.16999817,97.15578461,22.55999947,36.34152222
1/5/16,35.90180588,761.5300293,742.5800171,25.609972,175.1699982,25.24934769,26.46999931,25.27000046,57.34999847,64.85358429,102.7300034,19.23952103,23.90999985,107.6600037,11.81838608,40.22000122,34.75,95.19342804,21.92000008,36.84065247
1/6/16,35.56347656,759.3300171,743.6199951,25.57243156,174.3099976,25.05425644,26.28000069,25.10000038,56.06000137,63.59526062,102.9700012,18.91692924,23.77000046,117.6800003,11.76285648,40.04999924,34.00999832,94.68395233,21.38999939,36.50782013
1/7/16,35.06081009,741,726.3900146,25.15948868,173.6300049,24.77748299,25.47999954,24.31999969,54.86000061,62.37688065,97.91999817,18.32965469,23.11000061,114.5599976,11.49446774,40.50999832,32.41999817,93.87260437,20.26000023,36.30731583
1/8/16,34.51947784,730.9099731,714.4699707,25.18201447,174.8899994,24.8047123,26.01000023,25,53.81000137,63.04598999,97.33000183,18.23866653,22.80999947,111.3899994,11.64254379,39.88000107,32.34000015,93.63674164,19.97999954,35.95442963
1/11/16,35.00281143,733.0700073,716.0300293,25.48984909,175.6300049,24.8273983,25.82999992,24.85000038,53.24000168,64.12454987,97.51000214,18.13941383,22.78000069,114.9700012,11.30011749,39.68000031,32.77000046,94.26883698,19.64999962,36.16295624
1/12/16,35.88246918,745.3400269,726.0700073,25.45230103,175.3200073,24.89545059,26.32999992,25.25,53.93999863,65.5326767,99.37000275,18.23866653,23.12999916,116.5800018,11.5037241,40.06000137,33.61999893,95.72174835,19.62000084,36.03463364
1/13/16,33.69781876,719.5700073,700.5599976,25.33217812,167.9900055,24.29654503,25.54000092,24.62000084,52.06999969,63.29565811,95.44000244,17.93262482,22.07999992,106.5599976,11.28160667,38.84999847,32.5,92.91028595,18.68000031,35.40905762
1/14/16,34.2198143,731.3900146,714.7199707,25.7526207,172.3099976,24.97711754,26.29999924,25.42000008,51.72999954,64.39419556,98.37000275,18.45372772,22.51000023,107.0599976,11.76285648,39.38999939,32.68999863,93.50465393,19,35.98651505
1/15/16,33.74615097,710.4899902,694.4500122,25.51987457,165.0800018,24.45081329,25.88999939,25.06999969,49.93999863,65.97209167,94.97000122,17.96570969,22.5,104.0400009,11.57776165,37.79000092,32.58000183,88.58932495,17.94000053,35.6336174
