Date,ARE,AMT,AIV,AVB,BXP,CBRE,CCI,DLR,DRE,EQIX,EQR,ESS,EXR,FRT,PEAK,HST,IRM,KIM,MAA,PLD,PSA,O,REG,SBAC,UDR,VTR,VNO,WELL,WY,SPGSLG
1/4/16,77.06851196,87.64929199,3.343637228,152.9653778,107.1195221,34.09000015,71.08234406,63.94945526,17.5904808,268.6267395,57.66352463,203.9542999,73.24868011,122.3560791,26.67550087,12.32387257,18.90462875,19.63344002,74.97515106,36.17754364,203.9085846,41.13884354,56.18716431,104.7876282,30.99579811,43.68834305,62.92852402,53.36548996,24.70329475,
1/5/16,78.13228607,89.38052368,3.428809643,156.4864807,109.7587128,34.38999939,72.53911591,64.02496338,17.82603264,275.2771912,58.81822205,206.2918701,75.40058136,123.7750473,27.25464821,12.51084232,19.24975777,20.25103569,75.91617584,36.93735504,209.666153,42.03106308,57.28528595,106.164856,31.38984871,44.45831299,63.75969696,54.6920166,24.7612648,
1/6/16,77.60471344,89.0632782,3.390017986,155.3184204,109.7414474,32.90999985,71.93144226,64.62084198,17.57365608,280.4667664,58.26253128,204.5816803,76.02614594,124.5352325,26.15916252,12.25070953,19.10184669,20.06804276,75.52477264,36.73876953,209.9999084,42.28025055,57.61805344,105.1938553,31.16347504,44.05022049,63.45920944,54.57498169,24.21469307,
1/7/16,75.03607178,86.84260559,3.370622396,154.6074677,107.7922516,31.06999969,70.14170837,64.436203,17.0773201,275.1683044,58.08210373,202.562027,75.21707916,122.4996643,25.46138954,11.82799149,18.46793556,19.56481743,75.65801239,35.78036118,207.8137207,41.54878998,57.08562851,101.6467667,30.80700684,43.28025055,62.83260727,53.01435471,23.32030678,
1/8/16,74.00687408,85.41046906,3.306533098,151.865036,104.7735901,30.71999931,69.1594162,64.65441895,16.71558952,281.0656738,56.88409805,200.8174744,74.99188995,122.7023621,25.39161682,11.7954731,18.04532814,19.22933388,75.16666412,35.46089554,206.2950439,41.13079834,56.59480667,100.7054977,30.40154076,43.31875229,61.47711563,53.1313858,23.10499001,
1/11/16,73.08145905,85.63707733,3.327614307,152.8130493,105.8085709,30.09000015,69.66719818,65.96360016,16.85018921,283.8690796,57.57692337,202.5534668,75.74256134,123.5216827,25.78934288,11.99057293,18.24958992,19.53431892,75.41651917,35.41773224,208.3310547,42.01498413,56.92756653,102.9150085,30.74787521,43.56513977,61.17660141,53.49034882,22.86483002,
1/12/16,72.25119781,85.63707733,3.304001808,151.9412079,104.3682251,30.32999992,69.97518921,65.52722168,16.63145828,285.7199402,57.69239426,201.7713928,75.49232483,123.6652679,25.71258545,11.64914799,17.86924362,19.45044708,75.19164276,35.13278961,208.7482605,42.14360046,56.64470673,99.90296173,30.42687607,43.03385925,60.28146744,53.08457947,22.37623024,
1/13/16,70.29657745,83.52516174,3.241599321,149.8166962,102.4017792,29.09000015,68.9096756,65.14955139,16.42956352,277.2459717,57.13669586,200.9119415,74.6916275,124.0031357,25.25904465,10.94190788,17.65089417,19.2217083,75.04878235,34.96874237,208.0640411,41.6693573,56.09564972,96.82154846,30.40154076,41.99440002,59.41828537,51.95312881,22.15263939,
1/14/16,70.0630722,83.57953644,3.188472986,149.1226044,103.3850098,29.46999931,69.89194489,65.76219177,16.37908363,282.1542358,56.70367813,198.37677,72.74821472,124.2058563,25.09157753,11.20204163,17.68611336,19.27508354,75.12442017,34.23484421,208.3811035,41.99891663,55.92094803,98.56536102,29.93693733,42.07139206,59.16893387,51.80486679,21.87107086,
1/15/16,69.32794189,80.1170578,3.188472986,148.7163696,102.1602936,28.94000053,65.86293793,64.0501709,16.34543419,275.0775146,56.71089172,197.7923584,71.75564575,123.9440079,25.28694725,10.69802952,17.49594116,19.36657715,75.93122101,33.50955963,207.3965149,41.95069122,56.32026672,91.11450958,30.2241497,42.10989761,58.0819664,51.75024796,21.38246727,
