ATVI,Activision Blizzard,Communication Services
GOOGL,Alphabet Inc. (Class A),Communication Services
GOOG,Alphabet Inc. (Class C),Communication Services
T,AT&T Inc.,Communication Services
CTL,CenturyLink Inc,Communication Services
CHTR,Charter Communications,Communication Services
CMCSA,Comcast Corp.,Communication Services
DISCA,Discovery Inc. (Class A),Communication Services
DISCK,Discovery Inc. (Class C),Communication Services
DISH,Dish Network,Communication Services
EA,Electronic Arts,Communication Services
FB,Facebook Inc.,Communication Services
FOXA,Fox Corporation (Class A),Communication Services
FOX,Fox Corporation (Class B),Communication Services
IPG,Interpublic Group,Communication Services
LYV,Live Nation Entertainment,Communication Services
NFLX,Netflix Inc.,Communication Services
NWSA,News Corp. Class A,Communication Services
NWS,News Corp. Class B,Communication Services
OMC,Omnicom Group,Communication Services
TMUS,T-Mobile US,Communication Services
TTWO,Take-Two Interactive,Communication Services
DIS,The Walt Disney Company,Communication Services
TWTR,Twitter Inc.,Communication Services
VZ,Verizon Communications,Communication Services
VIAC,ViacomCBS,Communication Services
AAP,Advance Auto Parts,Consumer Discretionary
AMZN,Amazon.com Inc.,Consumer Discretionary
APTV,Aptiv PLC,Consumer Discretionary
AZO,AutoZone Inc,Consumer Discretionary
BBY,Best Buy Co. Inc.,Consumer Discretionary
BKNG,Booking Holdings Inc,Consumer Discretionary
BWA,BorgWarner,Consumer Discretionary
KMX,Carmax Inc,Consumer Discretionary
CCL,Carnival Corp.,Consumer Discretionary
CMG,Chipotle Mexican Grill,Consumer Discretionary
DHI,D. R. Horton,Consumer Discretionary
DRI,Darden Restaurants,Consumer Discretionary
DG,Dollar General,Consumer Discretionary
DLTR,Dollar Tree,Consumer Discretionary
DPZ,Domino's Pizza,Consumer Discretionary
EBAY,eBay Inc.,Consumer Discretionary
EXPE,Expedia Group,Consumer Discretionary
F,Ford Motor Company,Consumer Discretionary
GPS,Gap Inc.,Consumer Discretionary
GRMN,Garmin Ltd.,Consumer Discretionary
GM,General Motors,Consumer Discretionary
GPC,Genuine Parts,Consumer Discretionary
HRB,H&R Block,Consumer Discretionary
HBI,Hanesbrands Inc,Consumer Discretionary
HAS,Hasbro Inc.,Consumer Discretionary
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary
HD,Home Depot,Consumer Discretionary
KSS,Kohl's Corp.,Consumer Discretionary
LB,L Brands Inc.,Consumer Discretionary
LVS,Las Vegas Sands,Consumer Discretionary
LEG,Leggett & Platt,Consumer Discretionary
LEN,Lennar Corp.,Consumer Discretionary
LKQ,LKQ Corporation,Consumer Discretionary
LOW,Lowe's Cos.,Consumer Discretionary
MAR,Marriott Int'l.,Consumer Discretionary
MCD,McDonald's Corp.,Consumer Discretionary
MGM,MGM Resorts International,Consumer Discretionary
MHK,Mohawk Industries,Consumer Discretionary
NWL,Newell Brands,Consumer Discretionary
NKE,Nike Inc.,Consumer Discretionary
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
NVR,NVR Inc.,Consumer Discretionary
ORLY,O'Reilly Automotive,Consumer Discretionary
PHM,PulteGroup,Consumer Discretionary
PVH,PVH Corp.,Consumer Discretionary
RL,Ralph Lauren Corporation,Consumer Discretionary
ROST,Ross Stores,Consumer Discretionary
RCL,Royal Caribbean Group,Consumer Discretionary
SBUX,Starbucks Corp.,Consumer Discretionary
TPR,Tapestry Inc.,Consumer Discretionary
TGT,Target Corp.,Consumer Discretionary
TIF,Tiffany & Co.,Consumer Discretionary
TJX,TJX Companies Inc.,Consumer Discretionary
TSCO,Tractor Supply Company,Consumer Discretionary
ULTA,Ulta Beauty,Consumer Discretionary
UAA,Under Armour (Class A),Consumer Discretionary
UA,Under Armour (Class C),Consumer Discretionary
VFC,VF Corporation,Consumer Discretionary
WHR,Whirlpool Corp.,Consumer Discretionary
WYNN,Wynn Resorts Ltd,Consumer Discretionary
YUM,Yum! Brands Inc,Consumer Discretionary
MO,Altria Group Inc,Consumer Staples
ADM,Archer-Daniels-Midland Co,Consumer Staples
BF.B,Brown-Forman Corp.,Consumer Staples
CPB,Campbell Soup,Consumer Staples
CHD,Church & Dwight,Consumer Staples
KO,Coca-Cola Company,Consumer Staples
CL,Colgate-Palmolive,Consumer Staples
CAG,Conagra Brands,Consumer Staples
STZ,Constellation Brands,Consumer Staples
COST,Costco Wholesale Corp.,Consumer Staples
COTY,Coty Inc,Consumer Staples
EL,Estée Lauder Companies,Consumer Staples
GIS,General Mills,Consumer Staples
HRL,Hormel Foods Corp.,Consumer Staples
SJM,JM Smucker,Consumer Staples
K,Kellogg Co.,Consumer Staples
KMB,Kimberly-Clark,Consumer Staples
KHC,Kraft Heinz Co,Consumer Staples
KR,Kroger Co.,Consumer Staples
LW,Lamb Weston Holdings Inc,Consumer Staples
MKC,McCormick & Co.,Consumer Staples
TAP,Molson Coors Beverage Company,Consumer Staples
